expense_id,date,vendor_name,category,description,amount,payment_method
46,2025-08-20,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,105.53,Credit Card
47,2025-08-20,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,178.62,Credit Card
48,2025-08-20,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,322.86,Credit Card
49,2025-08-20,Office Supply Co,Other/Non-Operating,Office Supply Co,48.3,Business Debit
50,2025-08-20,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,56.51,Cash
51,2025-08-23,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,838.65,Business Debit
52,2025-08-23,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,62.9,Zelle
53,2025-08-24,Search Ads Platform,Marketing & Growth,Search Ads Platform,12.66,Zelle
54,2025-08-24,CAM Fee,Occupancy Cost,CAM Fee,517.42,Bank Transfer
55,2025-08-24,Office Supply Co,Other/Non-Operating,Office Supply Co,96.05,Cash
56,2025-08-24,Social Ads Platform,Marketing & Growth,Social Ads Platform,20.68,Business Debit
57,2025-08-25,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,665.81,Bank Transfer
58,2025-08-25,Wire Transfer Fee,Banking & Financial Fees,Wire Transfer Fee,26.86,Bank Transfer
59,2025-08-25,Booking Software Subscription,Software & Technology,Booking Software Subscription,12.17,Business Debit
60,2025-08-25,Financing Payment,Debt Services,Financing Payment,187.3,Cash
61,2025-08-25,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,200.64,Credit Card
62,2025-08-26,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,74.04,Credit Card
63,2025-08-26,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,733.49,Check
64,2025-08-26,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,591.06,Zelle
65,2025-08-26,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,354.88,Bank Transfer
66,2025-08-27,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,174.61,Check
67,2025-08-27,Search Ads Platform,Marketing & Growth,Search Ads Platform,11.11,Credit Card
68,2025-08-27,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,1992.92,Check
69,2025-08-27,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,92.58,Cash
70,2025-08-27,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,27.17,Credit Card
71,2025-08-27,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,295.37,Bank Transfer
72,2025-08-27,General Liability Policy,Insurance,General Liability Policy,270.08,Bank Transfer
73,2025-08-27,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,47.94,Business Debit
74,2025-08-28,Scheduling App Fee,Software & Technology,Scheduling App Fee,64.68,Cash
75,2025-08-28,Suite Rent - Main Location,Occupancy Cost,Suite Rent - Main Location,213.21,Bank Transfer
76,2025-08-28,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,36.17,Zelle
77,2025-08-28,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,274.56,Zelle
78,2025-08-28,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,379.22,Bank Transfer
79,2025-08-30,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,433.27,Check
80,2025-08-30,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,1332.66,Zelle
81,2025-08-30,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,227.09,Bank Transfer
82,2025-08-31,Break Room Supplies,Other/Non-Operating,Break Room Supplies,91.68,Cash
83,2025-09-01,General Store Purchase,Other/Non-Operating,General Store Purchase,687.92,Cash
84,2025-09-01,Office Supply Co,Other/Non-Operating,Office Supply Co,1097.48,Zelle
85,2025-09-01,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,89.28,Bank Transfer
86,2025-09-01,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,173.35,Cash
87,2025-09-01,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,54.45,Business Debit
88,2025-09-02,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,140.77,Business Debit
89,2025-09-02,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,303.98,Cash
90,2025-09-02,Electric Utility Co,Occupancy Cost,Electric Utility Co,199.49,Credit Card
91,2025-09-03,Cloud Storage Plan,Software & Technology,Cloud Storage Plan,45.28,Check
92,2025-09-03,Injectable Supply Distributor,Cost of Services (Clinical Supplies),Injectable Supply Distributor,81.54,Zelle
93,2025-09-04,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,51.16,Business Debit
94,2025-09-05,Search Ads Platform,Marketing & Growth,Search Ads Platform,5.17,Credit Card
95,2025-09-05,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,251.11,Bank Transfer
96,2025-09-05,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,144.55,Business Debit
97,2025-09-05,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,308.35,Business Debit
98,2025-09-05,Office Supply Co,Other/Non-Operating,Office Supply Co,1955.84,Check
99,2025-09-05,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,853.86,Cash
100,2025-09-05,Referral Program Payout,Marketing & Growth,Referral Program Payout,362.41,Check
101,2025-09-06,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,434.81,Bank Transfer
102,2025-09-06,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,290.85,Business Debit
103,2025-09-07,Line of Credit Interest,Debt Services,Line of Credit Interest,590.72,Zelle
104,2025-09-07,Break Room Supplies,Other/Non-Operating,Break Room Supplies,63.55,Cash
105,2025-09-07,Office Supply Co,Other/Non-Operating,Office Supply Co,104.02,Credit Card
106,2025-09-08,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,323.16,Zelle
107,2025-09-08,Suite Rent - Main Location,Occupancy Cost,Suite Rent - Main Location,1284.18,Credit Card
108,2025-09-08,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,969.6,Zelle
109,2025-09-08,Referral Program Payout,Marketing & Growth,Referral Program Payout,22.6,Bank Transfer
110,2025-09-09,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,116.19,Zelle
111,2025-09-10,General Store Purchase,Other/Non-Operating,General Store Purchase,57.78,Cash
112,2025-09-11,General Store Purchase,Other/Non-Operating,General Store Purchase,91.03,Cash
113,2025-09-11,Professional Certification Fee,Licensing & Compliance,Professional Certification Fee,987.57,Bank Transfer
114,2025-09-11,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,74.14,Zelle
115,2025-09-11,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,26.9,Business Debit
116,2025-09-12,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,451.77,Cash
117,2025-09-13,Injectable Supply Distributor,Cost of Services (Clinical Supplies),Injectable Supply Distributor,98.24,Business Debit
118,2025-09-13,Referral Program Payout,Marketing & Growth,Referral Program Payout,23.81,Zelle
119,2025-09-14,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,1203.56,Check
120,2025-09-14,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,184.54,Business Debit
121,2025-09-14,Local Print Promo Co,Marketing & Growth,Local Print Promo Co,5.16,Zelle
122,2025-09-14,Local Print Promo Co,Marketing & Growth,Local Print Promo Co,24.88,Zelle
123,2025-09-15,Scheduling App Fee,Software & Technology,Scheduling App Fee,55.4,Bank Transfer
124,2025-09-16,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,1113.49,Zelle
125,2025-09-16,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,254.22,Cash
126,2025-09-16,Booking Software Subscription,Software & Technology,Booking Software Subscription,90.5,Credit Card
127,2025-09-16,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,396.78,Cash
128,2025-09-16,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,55.93,Credit Card
129,2025-09-17,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,1020.46,Credit Card
130,2025-09-17,Bank Monthly Fee,Banking & Financial Fees,Bank Monthly Fee,28.96,Check
131,2025-09-17,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,1103.0,Zelle
132,2025-09-17,Office Supply Co,Other/Non-Operating,Office Supply Co,54.03,Business Debit
133,2025-09-17,Point-of-Sale Software,Software & Technology,Point-of-Sale Software,10.54,Bank Transfer
134,2025-09-18,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,97.8,Zelle
135,2025-09-18,Booking Software Subscription,Software & Technology,Booking Software Subscription,85.54,Bank Transfer
136,2025-09-19,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,149.32,Business Debit
137,2025-09-19,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,365.07,Cash
138,2025-09-20,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,481.79,Credit Card
139,2025-09-20,General Store Purchase,Other/Non-Operating,General Store Purchase,905.09,Check
140,2025-09-20,Water & Sewer Utility,Occupancy Cost,Water & Sewer Utility,465.32,Check
141,2025-09-20,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,1697.15,Credit Card
142,2025-09-20,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,934.87,Zelle
143,2025-09-21,Social Ads Platform,Marketing & Growth,Social Ads Platform,7.46,Credit Card
144,2025-09-21,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,635.62,Check
145,2025-09-21,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,430.53,Check
146,2025-09-21,Booking Software Subscription,Software & Technology,Booking Software Subscription,68.81,Business Debit
147,2025-09-22,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,870.66,Business Debit
148,2025-09-22,Social Ads Platform,Marketing & Growth,Social Ads Platform,12.35,Check
149,2025-09-22,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,1093.42,Credit Card
150,2025-09-22,Line of Credit Interest,Debt Services,Line of Credit Interest,278.32,Cash
151,2025-09-22,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,55.3,Check
152,2025-09-23,CAM Fee,Occupancy Cost,CAM Fee,655.65,Credit Card
153,2025-09-23,HVAC Repair Co,"Repairs, Maintenance & Small Equipment",HVAC Repair Co,17.92,Credit Card
154,2025-09-24,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,693.99,Zelle
155,2025-09-24,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,152.2,Business Debit
156,2025-09-24,Injectable Supply Distributor,Cost of Services (Clinical Supplies),Injectable Supply Distributor,25.4,Check
157,2025-09-25,Social Ads Platform,Marketing & Growth,Social Ads Platform,281.2,Check
158,2025-09-25,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,223.04,Bank Transfer
159,2025-09-26,Professional Certification Fee,Licensing & Compliance,Professional Certification Fee,37.74,Check
160,2025-09-26,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,807.86,Cash
161,2025-09-26,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,586.04,Bank Transfer
162,2025-09-27,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,30.26,Cash
163,2025-09-27,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,77.73,Bank Transfer
164,2025-09-27,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,90.83,Cash
165,2025-09-28,Electric Utility Co,Occupancy Cost,Electric Utility Co,633.34,Bank Transfer
166,2025-09-28,Line of Credit Interest,Debt Services,Line of Credit Interest,227.59,Check
167,2025-09-28,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,724.0,Bank Transfer
168,2025-09-28,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,87.91,Cash
169,2025-09-28,Equipment Loan Payment,Debt Services,Equipment Loan Payment,192.13,Credit Card
170,2025-09-29,Financing Payment,Debt Services,Financing Payment,737.37,Cash
171,2025-10-01,Property Insurance Premium,Insurance,Property Insurance Premium,55.8,Bank Transfer
172,2025-10-01,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,418.14,Zelle
173,2025-10-01,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,651.95,Credit Card
174,2025-10-02,Property Insurance Premium,Insurance,Property Insurance Premium,81.5,Zelle
175,2025-10-02,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,47.03,Zelle
176,2025-10-03,Financing Payment,Debt Services,Financing Payment,670.3,Credit Card
177,2025-10-03,Social Ads Platform,Marketing & Growth,Social Ads Platform,86.55,Business Debit
178,2025-10-04,Professional Certification Fee,Licensing & Compliance,Professional Certification Fee,768.24,Zelle
179,2025-10-04,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,304.16,Check
180,2025-10-05,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,365.6,Zelle
181,2025-10-05,Water & Sewer Utility,Occupancy Cost,Water & Sewer Utility,199.89,Check
182,2025-10-06,Point-of-Sale Software,Software & Technology,Point-of-Sale Software,14.07,Check
183,2025-10-06,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,352.41,Bank Transfer
184,2025-10-06,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,33.28,Check
185,2025-10-06,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,820.67,Bank Transfer
186,2025-10-07,Local Print Promo Co,Marketing & Growth,Local Print Promo Co,21.78,Business Debit
187,2025-10-07,Equipment Tune-Up Service,"Repairs, Maintenance & Small Equipment",Equipment Tune-Up Service,18.7,Bank Transfer
188,2025-10-07,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,129.5,Check
189,2025-10-08,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,219.3,Credit Card
190,2025-10-08,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,949.77,Cash
191,2025-10-08,Water & Sewer Utility,Occupancy Cost,Water & Sewer Utility,411.49,Business Debit
192,2025-10-08,Bank Monthly Fee,Banking & Financial Fees,Bank Monthly Fee,1407.0,Cash
193,2025-10-08,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,344.75,Credit Card
194,2025-10-09,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,468.43,Cash
195,2025-10-09,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,538.74,Check
196,2025-10-09,Referral Program Payout,Marketing & Growth,Referral Program Payout,12.68,Cash
197,2025-10-09,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,303.31,Business Debit
198,2025-10-10,Break Room Supplies,Other/Non-Operating,Break Room Supplies,101.32,Zelle
199,2025-10-10,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,159.81,Zelle
200,2025-10-11,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,126.66,Bank Transfer
201,2025-10-11,Water & Sewer Utility,Occupancy Cost,Water & Sewer Utility,901.95,Credit Card
202,2025-10-11,Line of Credit Interest,Debt Services,Line of Credit Interest,845.51,Business Debit
203,2025-10-11,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,224.9,Check
204,2025-10-12,Social Ads Platform,Marketing & Growth,Social Ads Platform,61.24,Zelle
205,2025-10-12,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,80.56,Check
206,2025-10-14,Line of Credit Interest,Debt Services,Line of Credit Interest,46.23,Check
207,2025-10-14,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,170.4,Credit Card
208,2025-10-15,General Store Purchase,Other/Non-Operating,General Store Purchase,393.18,Cash
209,2025-10-16,Scheduling App Fee,Software & Technology,Scheduling App Fee,62.97,Cash
210,2025-10-16,Wire Transfer Fee,Banking & Financial Fees,Wire Transfer Fee,2.35,Business Debit
211,2025-10-16,General Store Purchase,Other/Non-Operating,General Store Purchase,72.02,Check
212,2025-10-17,Search Ads Platform,Marketing & Growth,Search Ads Platform,13.2,Zelle
213,2025-10-17,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,225.44,Check
214,2025-10-17,State Business License Renewal,Licensing & Compliance,State Business License Renewal,16.51,Business Debit
215,2025-10-18,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,323.44,Cash
216,2025-10-19,Bank Monthly Fee,Banking & Financial Fees,Bank Monthly Fee,110.17,Bank Transfer
217,2025-10-19,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,99.46,Bank Transfer
218,2025-10-20,CAM Fee,Occupancy Cost,CAM Fee,124.6,Business Debit
219,2025-10-20,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,312.14,Business Debit
220,2025-10-21,General Liability Policy,Insurance,General Liability Policy,42.74,Cash
221,2025-10-21,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,476.45,Bank Transfer
222,2025-10-21,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,82.66,Check
223,2025-10-21,Break Room Supplies,Other/Non-Operating,Break Room Supplies,70.33,Credit Card
224,2025-10-21,Local Print Promo Co,Marketing & Growth,Local Print Promo Co,366.52,Bank Transfer
225,2025-10-22,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,654.08,Bank Transfer
226,2025-10-22,HVAC Repair Co,"Repairs, Maintenance & Small Equipment",HVAC Repair Co,25.99,Credit Card
227,2025-10-22,Electric Utility Co,Occupancy Cost,Electric Utility Co,493.15,Check
228,2025-10-23,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,1368.18,Bank Transfer
229,2025-10-23,Break Room Supplies,Other/Non-Operating,Break Room Supplies,826.07,Credit Card
230,2025-10-23,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,97.32,Bank Transfer
231,2025-10-23,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,96.47,Check
232,2025-10-23,Break Room Supplies,Other/Non-Operating,Break Room Supplies,85.15,Check
233,2025-10-24,Scheduling App Fee,Software & Technology,Scheduling App Fee,13.82,Zelle
234,2025-10-24,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,72.64,Bank Transfer
235,2025-10-24,Referral Program Payout,Marketing & Growth,Referral Program Payout,20.7,Zelle
236,2025-10-24,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,321.01,Business Debit
237,2025-10-25,Facility Repair Co,"Repairs, Maintenance & Small Equipment",Facility Repair Co,11.18,Credit Card
238,2025-10-25,Referral Program Payout,Marketing & Growth,Referral Program Payout,5.62,Zelle
239,2025-10-25,Local Print Promo Co,Marketing & Growth,Local Print Promo Co,20.0,Check
240,2025-10-25,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,221.04,Business Debit
241,2025-10-25,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,1579.11,Business Debit
242,2025-10-26,General Store Purchase,Other/Non-Operating,General Store Purchase,510.42,Zelle
243,2025-10-26,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,123.58,Credit Card
244,2025-10-27,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,225.55,Bank Transfer
245,2025-10-27,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,242.46,Business Debit
246,2025-10-28,Financing Payment,Debt Services,Financing Payment,477.03,Business Debit
247,2025-10-28,Injectable Supply Distributor,Cost of Services (Clinical Supplies),Injectable Supply Distributor,100.79,Bank Transfer
248,2025-10-28,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,76.03,Credit Card
249,2025-10-29,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,467.02,Zelle
250,2025-10-29,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,336.25,Zelle
251,2025-10-29,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,493.63,Cash
252,2025-10-29,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,214.39,Zelle
253,2025-10-29,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,56.65,Business Debit
254,2025-10-29,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,88.03,Business Debit
255,2025-10-29,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,66.27,Business Debit
256,2025-10-29,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,24.3,Zelle
257,2025-10-30,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,1262.22,Cash
258,2025-10-30,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,405.97,Credit Card
259,2025-10-30,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,2027.87,Business Debit
260,2025-10-31,Financing Payment,Debt Services,Financing Payment,285.37,Check
261,2025-10-31,Social Ads Platform,Marketing & Growth,Social Ads Platform,15.32,Bank Transfer
262,2025-10-31,Office Supply Co,Other/Non-Operating,Office Supply Co,470.24,Zelle
263,2025-10-31,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,577.17,Check
264,2025-11-01,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,298.28,Check
265,2025-11-01,General Store Purchase,Other/Non-Operating,General Store Purchase,951.37,Credit Card
266,2025-11-01,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,76.5,Bank Transfer
267,2025-11-01,Scheduling App Fee,Software & Technology,Scheduling App Fee,20.14,Cash
268,2025-11-03,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,54.29,Zelle
269,2025-11-03,General Store Purchase,Other/Non-Operating,General Store Purchase,712.92,Credit Card
270,2025-11-04,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,51.25,Check
271,2025-11-04,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,201.6,Cash
272,2025-11-05,Point-of-Sale Software,Software & Technology,Point-of-Sale Software,19.84,Bank Transfer
273,2025-11-06,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,806.53,Cash
274,2025-11-06,Office Supply Co,Other/Non-Operating,Office Supply Co,45.78,Zelle
275,2025-11-07,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,363.23,Credit Card
276,2025-11-07,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,58.61,Credit Card
277,2025-11-07,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,196.73,Credit Card
278,2025-11-07,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,183.74,Business Debit
279,2025-11-07,Tax Prep Services,Professional Services,Tax Prep Services,183.2,Credit Card
280,2025-11-08,Suite Rent - Main Location,Occupancy Cost,Suite Rent - Main Location,365.65,Cash
281,2025-11-08,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,619.54,Cash
282,2025-11-10,Malpractice Insurance Premium,Insurance,Malpractice Insurance Premium,90.11,Cash
